gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,print_speed (mm/min),size_of_tip,thickness (mm),CXCL5,DNMT3B,HESX1,IDO1,LCK,NANOG,POU5F1,SOX2,TRIM22
0.15,LAP,0.0025,30,1500,27G,2,30.22,23.98,33.01,30.38,30.78,27,32.05,28.26,30.34
0.15,LAP,0.0025,50,1500,27G,2,29.68,23.89,32.26,29.93,30.75,27.17,31.11,27.03,31.23
0.15,LAP,0.0025,70,1500,27G,2,30.07,24.01,32.97,30.34,31.28,27.77,31.45,27.28,31.93
0.15,LAP,0.0025,90,1500,27G,2,30.19,23.87,33.06,30.3,30.64,26.95,31.92,28,30.37
0.175,LAP,0.0025,30,1500,27G,2,30.04,23.94,32.36,30.2,30.44,26.86,32.32,28.33,30.28
0.175,LAP,0.0025,50,1500,27G,2,29.98,24.1,32.27,30.28,31.21,27.88,31.49,27.78,32.27
0.175,LAP,0.0025,70,1500,27G,2,29.65,23.91,32.26,30.01,30.82,27.44,31.36,27.29,31.98
0.175,LAP,0.0025,90,1500,27G,2,31.63,25.1,33.39,32.78,31.93,28.11,33.59,29.81,30.94
0.1,LAP,0.005,30,1500,27G,2,31.91,24.24,31.95,30.68,31.19,27.07,32.23,26.99,30.4
0.1,LAP,0.005,50,1500,27G,2,28.92,22.63,30.9,29.62,30.56,25.76,30.72,27.18,28.93
0.1,LAP,0.005,70,1500,27G,2,28.99,22.69,31.46,29.81,30.56,25.83,30.83,27.19,29.04
0.1,LAP,0.005,90,1500,27G,2,31.38,23.91,31.83,30.19,31.02,27.56,32.3,26.86,30.29
0.125,LAP,0.005,30,1500,27G,2,32.06,24.83,32.21,31.47,32,28.67,32.03,27.86,31.18
0.125,LAP,0.005,50,1500,27G,2,28.95,23.23,32.63,29.46,30.78,26.64,30.73,27.25,29.11
0.125,LAP,0.005,70,1500,27G,2,28.6,22.98,32.25,29.09,30.62,26.15,30.55,27.24,29.03
0.125,LAP,0.005,90,1500,27G,2,32.84,27.99,32.67,32.43,32.72,29.88,34.45,30.51,32.31
0.15,LAP,0.005,30,1500,27G,2,29.87,23.75,32.61,30,31.09,27.11,31.61,27.82,30.1
0.15,LAP,0.005,50,1500,27G,2,31.81,26.13,33.72,32.72,32.82,29.43,32.84,30.09,34.56
0.15,LAP,0.005,70,1500,27G,2,32.26,26.67,34.17,32.57,32.99,30.05,33.28,30.41,34.36
0.15,LAP,0.005,90,1500,27G,2,30.15,24.29,33.01,31.67,31.72,27.6,32.03,28.78,29.93
0.175,LAP,0.005,30,1500,27G,2,30.44,24.1,33.31,30.77,32.03,27.72,31.82,28.13,30.85
0.175,LAP,0.005,50,1500,27G,2,30.81,25.75,33.03,31.46,31.73,28.98,32.35,29.4,33.19
0.175,LAP,0.005,70,1500,27G,2,30.1,25.09,33.14,30.75,31.36,28.77,32.06,28.96,32.71
0.175,LAP,0.005,90,1500,27G,2,29.93,23.89,32.96,30.59,31.87,27.52,31.94,27.9,30.43
